state,date,unemployment_rate
NE,2014-12-01,2.8
NE,2014-11-01,2.6
NE,2014-10-01,2.7
NE,2014-09-01,2.9
NE,2014-08-01,3.1
NE,2014-07-01,3.6
NE,2014-06-01,3.4
NE,2014-05-01,3.1
NE,2014-04-01,3.1
NE,2014-03-01,3.9
NE,2014-02-01,3.9
NE,2014-01-01,3.8
NE,2013-12-01,3.3
NE,2013-11-01,3.1
NE,2013-10-01,3.3
NE,2013-09-01,3.4
NE,2013-08-01,3.5
NE,2013-07-01,4.0
NE,2013-06-01,4.1
NE,2013-05-01,3.7
NE,2013-04-01,3.6
NE,2013-03-01,3.9
NE,2013-02-01,4.2
NE,2013-01-01,4.4
NE,2012-12-01,3.8
NE,2012-11-01,3.4
NE,2012-10-01,3.6
NE,2012-09-01,3.5
NE,2012-08-01,3.8
NE,2012-07-01,4.2
NE,2012-06-01,4.1
NE,2012-05-01,3.7
NE,2012-04-01,3.7
NE,2012-03-01,4.2
NE,2012-02-01,4.5
NE,2012-01-01,4.4
NE,2011-12-01,4.1
NE,2011-11-01,3.8
NE,2011-10-01,4.0
NE,2011-09-01,4.1
NE,2011-08-01,4.3
NE,2011-07-01,4.5
NE,2011-06-01,4.7
NE,2011-05-01,4.3
NE,2011-04-01,4.3
NE,2011-03-01,4.7
NE,2011-02-01,4.9
NE,2011-01-01,5.0
NE,2010-12-01,4.3
NE,2010-11-01,4.2
NE,2010-10-01,4.2
NE,2010-09-01,4.3
NE,2010-08-01,4.3
NE,2010-07-01,4.6
NE,2010-06-01,4.9
NE,2010-05-01,4.4
NE,2010-04-01,4.6
NE,2010-03-01,5.2
NE,2010-02-01,5.4
NE,2010-01-01,5.4
NE,2009-12-01,4.7
NE,2009-11-01,4.3
NE,2009-10-01,4.4
NE,2009-09-01,4.6
NE,2009-08-01,4.6
NE,2009-07-01,4.8
NE,2009-06-01,4.9
NE,2009-05-01,4.6
NE,2009-04-01,4.5
NE,2009-03-01,4.8
NE,2009-02-01,4.6
NE,2009-01-01,4.6
NE,2008-12-01,3.6
NE,2008-11-01,3.2
NE,2008-10-01,3.2
NE,2008-09-01,3.2
NE,2008-08-01,3.1
NE,2008-07-01,3.4
NE,2008-06-01,3.4
NE,2008-05-01,3.0
NE,2008-04-01,2.9
NE,2008-03-01,3.2
NE,2008-02-01,3.3
NE,2008-01-01,3.3
NE,2007-12-01,2.7
NE,2007-11-01,2.8
NE,2007-10-01,2.8
NE,2007-09-01,2.8
NE,2007-08-01,2.8
NE,2007-07-01,3.2
NE,2007-06-01,3.3
NE,2007-05-01,2.9
NE,2007-04-01,2.7
NE,2007-03-01,2.9
NE,2007-02-01,3.3
NE,2007-01-01,3.4
NE,2006-12-01,2.7
NE,2006-11-01,2.7
NE,2006-10-01,2.7
NE,2006-09-01,2.8
NE,2006-08-01,2.9
NE,2006-07-01,3.3
NE,2006-06-01,3.2
NE,2006-05-01,2.8
NE,2006-04-01,3.1
NE,2006-03-01,3.3
NE,2006-02-01,3.5
NE,2006-01-01,3.6
NE,2005-12-01,3.4
NE,2005-11-01,3.5
NE,2005-10-01,3.3
NE,2005-09-01,3.5
NE,2005-08-01,3.4
NE,2005-07-01,3.8
NE,2005-06-01,3.9
NE,2005-05-01,3.8
NE,2005-04-01,3.8
NE,2005-03-01,4.3
NE,2005-02-01,4.4
NE,2005-01-01,4.5
IA,2014-12-01,4.0
IA,2014-11-01,3.6
IA,2014-10-01,3.6
IA,2014-09-01,3.8
IA,2014-08-01,4.3
IA,2014-07-01,4.4
IA,2014-06-01,4.2
IA,2014-05-01,4.0
IA,2014-04-01,3.9
IA,2014-03-01,4.9
IA,2014-02-01,5.1
IA,2014-01-01,5.4
IA,2013-12-01,4.4
IA,2013-11-01,4.1
IA,2013-10-01,4.2
IA,2013-09-01,4.2
IA,2013-08-01,4.6
IA,2013-07-01,4.8
IA,2013-06-01,4.9
IA,2013-05-01,4.4
IA,2013-04-01,4.5
IA,2013-03-01,5.2
IA,2013-02-01,5.5
IA,2013-01-01,6.1
IA,2012-12-01,5.0
IA,2012-11-01,4.4
IA,2012-10-01,4.5
IA,2012-09-01,4.4
IA,2012-08-01,5.0
IA,2012-07-01,5.2
IA,2012-06-01,5.1
IA,2012-05-01,4.7
IA,2012-04-01,4.6
IA,2012-03-01,5.4
IA,2012-02-01,5.9
IA,2012-01-01,6.1
IA,2011-12-01,5.4
IA,2011-11-01,4.9
IA,2011-10-01,5.0
IA,2011-09-01,5.2
IA,2011-08-01,5.6
IA,2011-07-01,5.6
IA,2011-06-01,5.7
IA,2011-05-01,5.2
IA,2011-04-01,5.2
IA,2011-03-01,6.1
IA,2011-02-01,6.4
IA,2011-01-01,6.9
IA,2010-12-01,5.9
IA,2010-11-01,5.5
IA,2010-10-01,5.3
IA,2010-09-01,5.5
IA,2010-08-01,5.9
IA,2010-07-01,5.9
IA,2010-06-01,5.9
IA,2010-05-01,5.6
IA,2010-04-01,5.8
IA,2010-03-01,7.0
IA,2010-02-01,7.2
IA,2010-01-01,7.5
IA,2009-12-01,6.6
IA,2009-11-01,5.9
IA,2009-10-01,6.1
IA,2009-09-01,5.9
IA,2009-08-01,6.5
IA,2009-07-01,6.7
IA,2009-06-01,6.8
IA,2009-05-01,6.3
IA,2009-04-01,6.2
IA,2009-03-01,7.1
IA,2009-02-01,6.9
IA,2009-01-01,6.9
IA,2008-12-01,5.2
IA,2008-11-01,4.2
IA,2008-10-01,3.9
IA,2008-09-01,3.9
IA,2008-08-01,4.2
IA,2008-07-01,4.1
IA,2008-06-01,4.0
IA,2008-05-01,3.6
IA,2008-04-01,3.6
IA,2008-03-01,4.1
IA,2008-02-01,4.2
IA,2008-01-01,4.5
IA,2007-12-01,3.9
IA,2007-11-01,3.3
IA,2007-10-01,3.3
IA,2007-09-01,3.4
IA,2007-08-01,3.5
IA,2007-07-01,3.5
IA,2007-06-01,3.7
IA,2007-05-01,3.3
IA,2007-04-01,3.6
IA,2007-03-01,4.0
IA,2007-02-01,4.4
IA,2007-01-01,4.6
IA,2006-12-01,3.8
IA,2006-11-01,3.3
IA,2006-10-01,3.2
IA,2006-09-01,3.4
IA,2006-08-01,3.6
IA,2006-07-01,3.6
IA,2006-06-01,3.6
IA,2006-05-01,3.2
IA,2006-04-01,3.4
IA,2006-03-01,3.9
IA,2006-02-01,4.4
IA,2006-01-01,4.6
IA,2005-12-01,4.4
IA,2005-11-01,3.9
IA,2005-10-01,3.7
IA,2005-09-01,3.9
IA,2005-08-01,3.9
IA,2005-07-01,4.1
IA,2005-06-01,4.3
IA,2005-05-01,4.0
IA,2005-04-01,4.0
IA,2005-03-01,4.8
IA,2005-02-01,5.2
IA,2005-01-01,5.5
TX,2014-12-01,4.2
TX,2014-11-01,4.6
TX,2014-10-01,4.7
TX,2014-09-01,5.0
TX,2014-08-01,5.4
TX,2014-07-01,5.7
TX,2014-06-01,5.5
TX,2014-05-01,5.1
TX,2014-04-01,4.8
TX,2014-03-01,5.5
TX,2014-02-01,5.8
TX,2014-01-01,5.8
TX,2013-12-01,5.4
TX,2013-11-01,5.8
TX,2013-10-01,6.0
TX,2013-09-01,6.3
TX,2013-08-01,6.4
TX,2013-07-01,6.7
TX,2013-06-01,6.9
TX,2013-05-01,6.3
TX,2013-04-01,6.1
TX,2013-03-01,6.4
TX,2013-02-01,6.7
TX,2013-01-01,7.1
TX,2012-12-01,6.2
TX,2012-11-01,6.0
TX,2012-10-01,6.2
TX,2012-09-01,6.4
TX,2012-08-01,6.8
TX,2012-07-01,7.3
TX,2012-06-01,7.3
TX,2012-05-01,6.6
TX,2012-04-01,6.3
TX,2012-03-01,6.7
TX,2012-02-01,7.2
TX,2012-01-01,7.3
TX,2011-12-01,7.0
TX,2011-11-01,7.2
TX,2011-10-01,7.6
TX,2011-09-01,8.2
TX,2011-08-01,8.4
TX,2011-07-01,8.8
TX,2011-06-01,8.8
TX,2011-05-01,8.0
TX,2011-04-01,7.7
TX,2011-03-01,8.1
TX,2011-02-01,8.3
TX,2011-01-01,8.5
TX,2010-12-01,8.0
TX,2010-11-01,8.3
TX,2010-10-01,8.0
TX,2010-09-01,8.1
TX,2010-08-01,8.3
TX,2010-07-01,8.5
TX,2010-06-01,8.4
TX,2010-05-01,7.9
TX,2010-04-01,8.0
TX,2010-03-01,8.4
TX,2010-02-01,8.5
TX,2010-01-01,8.8
TX,2009-12-01,8.0
TX,2009-11-01,8.0
TX,2009-10-01,8.2
TX,2009-09-01,8.4
TX,2009-08-01,8.4
TX,2009-07-01,8.6
TX,2009-06-01,8.5
TX,2009-05-01,7.3
TX,2009-04-01,6.1
TX,2009-03-01,6.5
TX,2009-02-01,6.6
TX,2009-01-01,6.5
TX,2008-12-01,5.5
TX,2008-11-01,5.3
TX,2008-10-01,5.2
TX,2008-09-01,5.2
TX,2008-08-01,5.2
TX,2008-07-01,5.2
TX,2008-06-01,5.0
TX,2008-05-01,4.3
TX,2008-04-01,3.9
TX,2008-03-01,4.3
TX,2008-02-01,4.3
TX,2008-01-01,4.7
TX,2007-12-01,4.3
TX,2007-11-01,4.2
TX,2007-10-01,4.0
TX,2007-09-01,4.4
TX,2007-08-01,4.3
TX,2007-07-01,4.8
TX,2007-06-01,4.7
TX,2007-05-01,4.0
TX,2007-04-01,4.0
TX,2007-03-01,4.3
TX,2007-02-01,4.7
TX,2007-01-01,4.8
TX,2006-12-01,4.1
TX,2006-11-01,4.5
TX,2006-10-01,4.4
TX,2006-09-01,4.7
TX,2006-08-01,5.0
TX,2006-07-01,5.4
TX,2006-06-01,5.5
TX,2006-05-01,5.0
TX,2006-04-01,4.9
TX,2006-03-01,5.1
TX,2006-02-01,5.4
TX,2006-01-01,5.4
TX,2005-12-01,5.1
TX,2005-11-01,5.5
TX,2005-10-01,5.3
TX,2005-09-01,5.6
TX,2005-08-01,5.4
TX,2005-07-01,5.5
TX,2005-06-01,5.6
TX,2005-05-01,5.2
TX,2005-04-01,5.2
TX,2005-03-01,5.5
TX,2005-02-01,6.0
TX,2005-01-01,6.0
CA,2014-12-01,6.7
CA,2014-11-01,7.0
CA,2014-10-01,7.0
CA,2014-09-01,7.1
CA,2014-08-01,7.7
CA,2014-07-01,8.0
CA,2014-06-01,7.5
CA,2014-05-01,7.2
CA,2014-04-01,7.3
CA,2014-03-01,8.3
CA,2014-02-01,8.4
CA,2014-01-01,8.5
CA,2013-12-01,8.0
CA,2013-11-01,8.3
CA,2013-10-01,8.6
CA,2013-09-01,8.6
CA,2013-08-01,9.1
CA,2013-07-01,9.4
CA,2013-06-01,9.4
CA,2013-05-01,8.6
CA,2013-04-01,8.8
CA,2013-03-01,9.4
CA,2013-02-01,9.8
CA,2013-01-01,10.4
CA,2012-12-01,9.7
CA,2012-11-01,9.5
CA,2012-10-01,9.7
CA,2012-09-01,9.7
CA,2012-08-01,10.5
CA,2012-07-01,10.9
CA,2012-06-01,10.7
CA,2012-05-01,10.1
CA,2012-04-01,10.3
CA,2012-03-01,11.0
CA,2012-02-01,11.2
CA,2012-01-01,11.4
CA,2011-12-01,11.0
CA,2011-11-01,11.0
CA,2011-10-01,11.3
CA,2011-09-01,11.5
CA,2011-08-01,11.9
CA,2011-07-01,12.2
CA,2011-06-01,12.1
CA,2011-05-01,11.3
CA,2011-04-01,11.5
CA,2011-03-01,12.1
CA,2011-02-01,12.3
CA,2011-01-01,12.6
CA,2010-12-01,12.1
CA,2010-11-01,12.3
CA,2010-10-01,11.9
CA,2010-09-01,12.0
CA,2010-08-01,12.4
CA,2010-07-01,12.6
CA,2010-06-01,12.2
CA,2010-05-01,11.8
CA,2010-04-01,12.1
CA,2010-03-01,12.8
CA,2010-02-01,12.8
CA,2010-01-01,13.0
CA,2009-12-01,12.1
CA,2009-11-01,11.9
CA,2009-10-01,11.9
CA,2009-09-01,11.8
CA,2009-08-01,11.9
CA,2009-07-01,12.0
CA,2009-06-01,11.7
CA,2009-05-01,11.0
CA,2009-04-01,10.8
CA,2009-03-01,11.2
CA,2009-02-01,10.9
CA,2009-01-01,10.5
CA,2008-12-01,9.1
CA,2008-11-01,8.4
CA,2008-10-01,8.0
CA,2008-09-01,7.7
CA,2008-08-01,7.8
CA,2008-07-01,7.6
CA,2008-06-01,7.0
CA,2008-05-01,6.4
CA,2008-04-01,6.0
CA,2008-03-01,6.5
CA,2008-02-01,6.2
CA,2008-01-01,6.4
CA,2007-12-01,5.8
CA,2007-11-01,5.5
CA,2007-10-01,5.3
CA,2007-09-01,5.4
CA,2007-08-01,5.4
CA,2007-07-01,5.6
CA,2007-06-01,5.3
CA,2007-05-01,4.7
CA,2007-04-01,5.0
CA,2007-03-01,5.2
CA,2007-02-01,5.3
CA,2007-01-01,5.5
CA,2006-12-01,4.7
CA,2006-11-01,4.7
CA,2006-10-01,4.4
CA,2006-09-01,4.6
CA,2006-08-01,4.9
CA,2006-07-01,5.2
CA,2006-06-01,4.9
CA,2006-05-01,4.5
CA,2006-04-01,4.8
CA,2006-03-01,5.1
CA,2006-02-01,5.3
CA,2006-01-01,5.3
CA,2005-12-01,4.9
CA,2005-11-01,5.2
CA,2005-10-01,5.0
CA,2005-09-01,5.1
CA,2005-08-01,5.2
CA,2005-07-01,5.5
CA,2005-06-01,5.4
CA,2005-05-01,5.0
CA,2005-04-01,5.3
CA,2005-03-01,5.8
CA,2005-02-01,6.1
CA,2005-01-01,6.2
NY,2014-12-01,5.5
NY,2014-11-01,5.6
NY,2014-10-01,5.6
NY,2014-09-01,5.7
NY,2014-08-01,6.3
NY,2014-07-01,6.5
NY,2014-06-01,6.2
NY,2014-05-01,6.2
NY,2014-04-01,6.0
NY,2014-03-01,7.0
NY,2014-02-01,7.5
NY,2014-01-01,7.3
NY,2013-12-01,6.8
NY,2013-11-01,7.0
NY,2013-10-01,7.5
NY,2013-09-01,7.5
NY,2013-08-01,7.9
NY,2013-07-01,8.1
NY,2013-06-01,8.0
NY,2013-05-01,7.7
NY,2013-04-01,7.5
NY,2013-03-01,8.1
NY,2013-02-01,8.8
NY,2013-01-01,9.2
NY,2012-12-01,8.3
NY,2012-11-01,8.0
NY,2012-10-01,8.2
NY,2012-09-01,8.2
NY,2012-08-01,8.8
NY,2012-07-01,9.2
NY,2012-06-01,8.8
NY,2012-05-01,8.5
NY,2012-04-01,8.3
NY,2012-03-01,8.9
NY,2012-02-01,9.3
NY,2012-01-01,9.2
NY,2011-12-01,8.4
NY,2011-11-01,8.2
NY,2011-10-01,8.3
NY,2011-09-01,8.3
NY,2011-08-01,8.5
NY,2011-07-01,8.5
NY,2011-06-01,8.3
NY,2011-05-01,7.9
NY,2011-04-01,7.9
NY,2011-03-01,8.3
NY,2011-02-01,8.8
NY,2011-01-01,9.0
NY,2010-12-01,8.3
NY,2010-11-01,8.4
NY,2010-10-01,8.3
NY,2010-09-01,8.4
NY,2010-08-01,8.7
NY,2010-07-01,8.8
NY,2010-06-01,8.6
NY,2010-05-01,8.4
NY,2010-04-01,8.6
NY,2010-03-01,9.2
NY,2010-02-01,9.6
NY,2010-01-01,9.6
NY,2009-12-01,8.9
NY,2009-11-01,8.6
NY,2009-10-01,8.7
NY,2009-09-01,8.6
NY,2009-08-01,8.7
NY,2009-07-01,8.7
NY,2009-06-01,8.6
NY,2009-05-01,8.1
NY,2009-04-01,7.9
NY,2009-03-01,8.2
NY,2009-02-01,8.3
NY,2009-01-01,7.7
NY,2008-12-01,6.5
NY,2008-11-01,5.9
NY,2008-10-01,5.5
NY,2008-09-01,5.5
NY,2008-08-01,5.6
NY,2008-07-01,5.4
NY,2008-06-01,5.1
NY,2008-05-01,4.8
NY,2008-04-01,4.5
NY,2008-03-01,5.0
NY,2008-02-01,5.2
NY,2008-01-01,5.3
NY,2007-12-01,4.7
NY,2007-11-01,4.3
NY,2007-10-01,4.3
NY,2007-09-01,4.3
NY,2007-08-01,4.5
NY,2007-07-01,4.8
NY,2007-06-01,4.3
NY,2007-05-01,4.0
NY,2007-04-01,4.0
NY,2007-03-01,4.2
NY,2007-02-01,4.7
NY,2007-01-01,4.8
NY,2006-12-01,3.9
NY,2006-11-01,4.0
NY,2006-10-01,3.8
NY,2006-09-01,4.1
NY,2006-08-01,4.4
NY,2006-07-01,4.9
NY,2006-06-01,4.4
NY,2006-05-01,4.3
NY,2006-04-01,4.5
NY,2006-03-01,4.9
NY,2006-02-01,5.3
NY,2006-01-01,5.0
NY,2005-12-01,4.7
NY,2005-11-01,4.9
NY,2005-10-01,4.6
NY,2005-09-01,4.9
NY,2005-08-01,4.7
NY,2005-07-01,5.1
NY,2005-06-01,4.8
NY,2005-05-01,4.7
NY,2005-04-01,4.8
NY,2005-03-01,5.0
NY,2005-02-01,5.7
NY,2005-01-01,5.6
